Year_Birth,Education,Income,Recency,NumWebVisitsMonth,Complain,Response,Children,total_spent,num_of_purchases,AcceptedCmp,Age,Family_Members,Joined_year,Joined_month,Days_Since_Enrollment,Marital_Status_Alone,Marital_Status_Together,Cluster_Label
1957,1.0,58138.0,58,7,0,1,0,1617.0,25.0,0,66.0,1,2012,4,972,1.0,0.0,3
1954,1.0,46344.0,38,5,0,0,2,27.0,6.0,0,69.0,3,2014,8,126,1.0,0.0,0
1965,1.0,71613.0,26,4,0,0,0,776.0,21.0,0,58.0,2,2013,8,473,0.0,1.0,1
1984,1.0,26646.0,26,6,0,0,1,53.0,8.0,0,39.0,3,2014,10,66,0.0,1.0,2
1981,2.0,58293.0,94,5,0,0,1,422.0,19.0,0,42.0,3,2014,1,322,0.0,1.0,2
1967,2.0,62513.0,16,6,0,0,1,716.0,22.0,0,56.0,3,2013,9,454,0.0,1.0,2
1971,1.0,55635.0,34,6,0,0,1,590.0,21.0,0,52.0,2,2012,11,754,1.0,0.0,0
1985,2.0,33454.0,32,8,0,0,1,169.0,10.0,0,38.0,3,2013,8,489,0.0,1.0,2
1974,2.0,30351.0,19,9,0,1,1,46.0,6.0,0,49.0,3,2013,6,549,0.0,1.0,2
1950,2.0,5648.0,68,20,0,0,2,49.0,2.0,1,73.0,4,2014,3,269,0.0,1.0,2
1983,1.0,51381.5,11,7,0,0,1,19.0,4.0,0,40.0,3,2013,11,387,0.0,1.0,2
1976,0.0,7500.0,59,8,0,0,0,61.0,6.0,0,47.0,2,2012,11,754,0.0,1.0,2
1959,1.0,63033.0,82,2,0,0,0,1102.0,16.0,0,64.0,1,2013,11,387,1.0,0.0,0
1952,2.0,59354.0,53,6,0,0,2,310.0,15.0,0,71.0,3,2013,11,387,1.0,0.0,0
1987,1.0,17323.0,38,8,0,0,0,46.0,5.0,0,36.0,2,2012,10,788,0.0,1.0,2
1946,2.0,82800.0,23,3,0,1,0,1315.0,26.0,2,77.0,1,2012,11,743,1.0,0.0,3
1980,1.0,41850.0,51,8,0,0,2,96.0,9.0,0,43.0,4,2012,12,713,0.0,1.0,2
1946,1.0,37760.0,20,7,0,0,0,317.0,13.0,0,77.0,2,2012,8,828,0.0,1.0,2
1949,2.0,76995.0,91,5,0,0,1,1782.0,26.0,1,74.0,3,2013,3,619,0.0,1.0,1
1985,0.0,33812.0,86,6,0,0,1,133.0,8.0,0,38.0,2,2012,3,1001,1.0,0.0,0
1982,1.0,37040.0,41,8,0,0,0,316.0,12.0,0,41.0,2,2012,8,851,0.0,1.0,2
1979,1.0,2447.0,42,1,0,0,1,1730.0,40.5,0,44.0,3,2013,6,554,0.0,1.0,1
